"EVENT","LEVEL","PLAYTIME_AVG","HINT_USED_SUM","RETRY_COUNT_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_completed","110","10.052899061468265","0","37053","11","26957","0.0023","26953","1","0.1025","263000"
"level_completed","111","11.160838106722945","0","37238","13","26536","0.0023","26535","1","0.1009","263000"
"level_completed","112","6.495443057363869","0","44912","10","26114","0.0023","26111","1","0.0993","263000"
"level_completed","113","14.838640776699027","0","33592","7","25750","0.0022","25746","1","0.09789999999999999","263000"
"level_completed","114","15.796196078431368","0","25828","10","25500","0.0022","25495","1","0.0969","263000"
"level_completed","115","10.101638034358771","36","25774","25","25030","0.0022","25025","1","0.09519999999999999","263000"
"level_completed","116","8.17185978578384","15","25003","8","24648","0.0021","24642","1","0.09369999999999999","263000"
"level_completed","117","7.211442076524999","5","24723","2","24541","0.0021","24540","1","0.0933","263000"
"level_completed","118","10.611886815766717","56","24773","9","24279","0.0021","24273","1","0.09230000000000001","263000"
"level_completed","119","8.652755970580948","8","24463","2","24202","0.0021","24197","1","0.092","263000"
"level_completed","120","9.07771695984624","0","31211","2","23933","0.0021","23926","1","0.091","263000"
"level_completed","121","17.91284854178231","0","34451","16","23419","0.002","23419","1","0.08900000000000001","263000"
"level_completed","122","14.74548114993974","0","26106","7","23236","0.002","23231","1","0.0883","263000"
"level_completed","123","13.289477115660453","0","25666","2","23007","0.002","22999","1","0.0874","263000"
"level_completed","124","11.757099591800907","0","25443","2","22783","0.002","22779","1","0.0866","263000"
"level_completed","125","10.955775607133255","28","22995","9","22318","0.0019","22314","1","0.0848","263000"
"level_completed","126","7.535511685954165","8","24177","4","22035","0.0019","22033","1","0.08380000000000001","263000"
"level_completed","127","9.733861005627485","8","22330","5","21857","0.0019","21854","1","0.08310000000000001","263000"
"level_completed","128","11.157295603281412","70","22100","15","21698","0.0019","21695","1","0.0825","263000"
"level_completed","129","8.420914005822281","29","21894","10","21641","0.0019","21635","1","0.0823","263000"
"level_completed","130","10.262120504437181","0","25228","3","21410","0.0019","21408","1","0.0814","263000"
"level_completed","131","9.777553605780513","0","22368","3","21313","0.0018","21304","1","0.081","263000"
"level_completed","132","10.520784724536927","0","27050","5","21001","0.0018","20997","1","0.07980000000000001","263000"
"level_completed","133","9.345971109084806","0","30645","6","20837","0.0018","20834","1","0.07919999999999999","263000"
"level_completed","134","11.400458894747118","0","27853","6","20484","0.0018","20480","1","0.0779","263000"
"level_completed","135","7.8693218407886265","16","20774","4","20187","0.0017000000000000001","20186","1","0.0768","263000"
"level_completed","136","4.3833970233306525","3","24854","3","19888","0.0017000000000000001","19884","1","0.0756","263000"
"level_completed","137","8.601561712846348","7","20083","3","19850","0.0017000000000000001","19843","1","0.0754","263000"
"level_completed","138","8.685478146232636","7","20008","3","19722","0.0017000000000000001","19718","1","0.075","263000"
"level_completed","139","10.873856474893273","4","19905","2","19676","0.0017000000000000001","19676","1","0.0748","263000"
"level_completed","140","11.840164990977058","0","21432","5","19395","0.0017000000000000001","19389","1","0.0737","263000"
"level_completed","141","14.203631578947368","0","29226","9","19000","0.0016","18999","1","0.0722","263000"
"level_completed","142","12.060991241187782","0","29797","7","18724","0.0016","18721","1","0.0712","263000"
"level_completed","143","13.03990051903114","0","23899","3","18496","0.0016","18493","1","0.0703","263000"
"level_completed","144","6.591866973987488","19","29595","15","18222","0.0016","18222","1","0.0693","263000"
"level_completed","145","11.176138251910936","7","18394","1","18054","0.0016","18046","1","0.06860000000000001","263000"
"level_completed","146","6.327737949524976","6","22382","4","17157","0.0015","17155","1","0.0652","263000"
