"EVENT","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_started","237","6852","0.0006","6852","1","0.026099999999999998","263000"
"level_started","240","6637","0.0006","6637","1","0.0252","263000"
"level_started","239","6635","0.0006","6635","1","0.0252","263000"
"level_started","243","6604","0.0006","6603","1","0.025099999999999997","263000"
"level_started","246","6409","0.0006","6409","1","0.024399999999999998","263000"
"level_started","241","6396","0.0006","6395","1","0.024300000000000002","263000"
"level_started","242","6378","0.0006","6377","1","0.0242","263000"
"level_started","244","6310","0.0006","6310","1","0.024","263000"
"level_started","245","6287","0.0006","6286","1","0.0239","263000"
"level_started","251","6135","0.0005","6132","1","0.0233","263000"
"level_started","250","6036","0.0005","6035","1","0.0229","263000"
"level_started","248","6028","0.0005","6028","1","0.0229","263000"
"level_started","247","6025","0.0005","6024","1","0.0229","263000"
"level_started","249","5999","0.0005","5999","1","0.022799999999999997","263000"
"level_started","252","5816","0.0005","5816","1","0.022099999999999998","263000"
"level_started","253","5750","0.0005","5747","1","0.0219","263000"
"level_started","254","5732","0.0005","5731","1","0.0218","263000"
"level_started","255","5647","0.0005","5646","1","0.0215","263000"
"level_started","260","5609","0.0005","5609","1","0.0213","263000"
"level_started","256","5592","0.0005","5592","1","0.0213","263000"
"level_started","257","5582","0.0005","5582","1","0.0212","263000"
"level_started","258","5550","0.0005","5550","1","0.021099999999999997","263000"
"level_started","259","5521","0.0005","5520","1","0.021","263000"
"level_started","261","5396","0.0005","5396","1","0.020499999999999997","263000"
"level_started","262","5221","0.0005","5221","1","0.0199","263000"
"level_started","267","5183","0.0005","5183","1","0.0197","263000"
"level_started","264","5142","0.0005","5141","1","0.0195","263000"
"level_started","266","5125","0.0005","5124","1","0.0195","263000"
"level_started","265","5124","0.0005","5124","1","0.0195","263000"
"level_started","263","5112","0.0005","5112","1","0.0194","263000"
"level_started","268","4940","0.0004","4940","1","0.018799999999999997","263000"
"level_started","272","4880","0.0004","4880","1","0.018600000000000002","263000"
"level_started","269","4845","0.0004","4845","1","0.0184","263000"
"level_started","270","4841","0.0004","4839","1","0.0184","263000"
"level_started","276","4752","0.0004","4749","1","0.0181","263000"
"level_started","271","4719","0.0004","4716","1","0.0179","263000"
"level_started","274","4718","0.0004","4718","1","0.0179","263000"
"level_started","273","4704","0.0004","4704","1","0.0179","263000"
"level_started","275","4634","0.0004","4634","1","0.0176","263000"
"level_started","281","4577","0.0004","4576","1","0.0174","263000"
"level_started","277","4531","0.0004","4528","1","0.0172","263000"
"level_started","278","4510","0.0004","4509","1","0.0171","263000"
"level_started","280","4492","0.0004","4491","1","0.0171","263000"
"level_started","279","4471","0.0004","4471","1","0.017","263000"
"level_started","285","4435","0.0004","4431","1","0.0168","263000"
"level_started","282","4421","0.0004","4421","1","0.0168","263000"
"level_started","284","4372","0.0004","4372","1","0.0166","263000"
"level_started","283","4372","0.0004","4370","1","0.0166","263000"
"level_started","287","4248","0.0004","4246","1","0.0161","263000"
"level_started","286","4243","0.0004","4243","1","0.0161","263000"
"level_started","290","4148","0.0004","4148","1","0.0158","263000"
"level_started","288","4064","0.0004","4063","1","0.0154","263000"
"level_started","289","4050","0.0004","4050","1","0.0154","263000"
"level_started","292","4005","0.0004","4005","1","0.0152","263000"
"level_started","291","4002","0.0004","4001","1","0.0152","263000"
"level_started","293","3979","0.0004","3977","1","0.0151","263000"
"level_started","294","3949","0.0003","3948","1","0.015","263000"
"level_started","297","3942","0.0003","3942","1","0.015","263000"
"level_started","295","3887","0.0003","3886","1","0.0148","263000"
"level_started","296","3845","0.0003","3845","1","0.0146","263000"
"level_started","302","3830","0.0003","3829","1","0.0146","263000"
"level_started","298","3802","0.0003","3801","1","0.014499999999999999","263000"
"level_started","299","3786","0.0003","3786","1","0.0144","263000"
"level_started","300","3762","0.0003","3761","1","0.0143","263000"
"level_started","305","3754","0.0003","3751","1","0.0143","263000"
"level_started","301","3751","0.0003","3751","1","0.0143","263000"
"level_started","310","3680","0.0003","3680","1","0.013999999999999999","263000"
"level_started","303","3645","0.0003","3645","1","0.0139","263000"
"level_started","314","3629","0.0003","3629","1","0.0138","263000"
"level_started","304","3619","0.0003","3619","1","0.0138","263000"
"level_started","306","3618","0.0003","3618","1","0.0138","263000"
"level_started","307","3602","0.0003","3602","1","0.0137","263000"
"level_started","308","3589","0.0003","3588","1","0.013600000000000001","263000"
"level_started","313","3563","0.0003","3562","1","0.013500000000000002","263000"
"level_started","309","3560","0.0003","3560","1","0.013500000000000002","263000"
"level_started","312","3543","0.0003","3543","1","0.013500000000000002","263000"
"level_started","311","3516","0.0003","3516","1","0.0134","263000"
"level_started","319","3467","0.0003","3466","1","0.0132","263000"
"level_started","317","3452","0.0003","3450","1","0.0131","263000"
"level_started","315","3451","0.0003","3451","1","0.0131","263000"
"level_started","318","3413","0.0003","3413","1","0.013000000000000001","263000"
"level_started","316","3408","0.0003","3407","1","0.013000000000000001","263000"
"level_started","323","3360","0.0003","3360","1","0.0128","263000"
"level_started","320","3348","0.0003","3348","1","0.0127","263000"
"level_started","321","3317","0.0003","3317","1","0.0126","263000"
"level_started","322","3292","0.0003","3291","1","0.0125","263000"
"level_started","328","3280","0.0003","3280","1","0.0125","263000"
"level_started","327","3194","0.0003","3193","1","0.0121","263000"
"level_started","326","3184","0.0003","3184","1","0.0121","263000"
"level_started","324","3183","0.0003","3182","1","0.0121","263000"
"level_started","325","3183","0.0003","3183","1","0.0121","263000"
"level_started","329","3151","0.0003","3151","1","0.012","263000"
"level_started","334","3136","0.0003","3136","1","0.011899999999999999","263000"
"level_started","330","3098","0.0003","3098","1","0.0118","263000"
"level_started","333","3073","0.0003","3072","1","0.011699999999999999","263000"
"level_started","332","3063","0.0003","3063","1","0.0116","263000"
"level_started","331","3060","0.0003","3059","1","0.0116","263000"
"level_started","339","3035","0.0003","3035","1","0.0115","263000"
"level_started","336","3025","0.0003","3025","1","0.0115","263000"
"level_started","335","3016","0.0003","3015","1","0.0115","263000"
"level_started","338","2934","0.0003","2934","1","0.011200000000000002","263000"
"level_started","337","2916","0.0003","2916","1","0.0111","263000"
"level_started","343","2889","0.0003","2887","1","0.011000000000000001","263000"
"level_started","341","2877","0.0003","2876","1","0.0109","263000"
"level_started","340","2877","0.0003","2876","1","0.0109","263000"
"level_started","342","2864","0.0003","2864","1","0.0109","263000"
"level_started","348","2854","0.0003","2853","1","0.0108","263000"
"level_started","347","2777","0.0002","2776","1","0.0106","263000"
"level_started","354","2773","0.0002","2771","1","0.0105","263000"
"level_started","346","2762","0.0002","2761","1","0.0105","263000"
"level_started","345","2762","0.0002","2762","1","0.0105","263000"
"level_started","344","2755","0.0002","2754","1","0.0105","263000"
"level_started","352","2724","0.0002","2724","1","0.0104","263000"
"level_started","350","2717","0.0002","2717","1","0.0103","263000"
"level_started","351","2715","0.0002","2715","1","0.0103","263000"
