"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","546","699","699","0.0001","699","1"
"A - level_started","47","52221","52221","0.0062","52213","1"
"A - level_started","592","596","596","0.0001","596","1"
"A - level_started","723","353","353","0","353","1"
"A - level_started","672","442","442","0.0001","441","1"
"A - level_started","749","302","302","0","302","1"
"A - level_started","494","920","920","0.0001","920","1"
"A - level_started","141","14665","14665","0.0017000000000000001","14663","1"
"A - level_started","275","3827","3827","0.0005","3827","1"
"A - level_started","652","449","449","0.0001","449","1"
"A - level_started","138","14917","14917","0.0018","14914","1"
"A - level_started","419","1405","1405","0.0002","1405","1"
"A - level_started","283","3614","3614","0.0004","3612","1"
"A - level_started","130","16693","16693","0.002","16691","1"
"A - level_started","74","33118","33118","0.0039000000000000003","33114","1"
"A - level_started","12","124539","124539","0.0147","124533","1"
"A - level_started","117","18348","18348","0.0022","18345","1"
"A - level_started","125","17535","17535","0.0021","17534","1"
"A - level_started","98","23570","23570","0.0028000000000000004","23568","1"
"A - level_started","80","31152","31152","0.0037","31148","1"
"A - level_started","202","7547","7547","0.0009","7547","1"
"A - level_started","399","1639","1639","0.0002","1639","1"
"A - level_started","167","10741","10741","0.0013","10739","1"
"A - level_started","489","928","928","0.0001","928","1"
"A - level_started","695","395","395","0","395","1"
"A - level_started","732","332","332","0","332","1"
"A - level_started","466","1067","1067","0.0001","1067","1"
"A - level_started","625","501","501","0.0001","501","1"
"A - level_started","554","684","684","0.0001","684","1"
"A - level_started","474","1013","1013","0.0001","1013","1"
"A - level_started","752","300","300","0","300","1"
"A - level_started","630","502","502","0.0001","502","1"
"A - level_started","561","703","703","0.0001","703","1"
"A - level_started","567","667","667","0.0001","667","1"
"A - level_started","405","1620","1620","0.0002","1620","1"
"A - level_started","495","939","939","0.0001","939","1"
"A - level_started","157","12249","12249","0.0015","12248","1"
"A - level_started","5","128965","128965","0.015300000000000001","128961","1"
"A - level_started","447","1178","1178","0.0001","1178","1"
"A - level_started","216","6651","6651","0.0008","6651","1"
"A - level_started","540","739","739","0.0001","739","1"
"A - level_started","291","3308","3308","0.0004","3307","1"
"A - level_started","730","333","333","0","333","1"
"A - level_started","478","1015","1015","0.0001","1013","1"
"A - level_started","224","6141","6141","0.0007000000000000001","6141","1"
"A - level_started","586","606","606","0.0001","606","1"
"A - level_started","335","2501","2501","0.0003","2500","1"
"A - level_started","394","1698","1698","0.0002","1698","1"
"A - level_started","437","1251","1251","0.0001","1250","1"
"A - level_started","515","832","832","0.0001","832","1"
"A - level_started","751","296","296","0","296","1"
"A - level_started","302","3168","3168","0.0004","3167","1"
"A - level_started","144","14419","14419","0.0017000000000000001","14416","1"
"A - level_started","64","38894","38894","0.0046","38889","1"
"A - level_started","214","6670","6670","0.0008","6670","1"
"A - level_started","105","21921","21921","0.0026","21920","1"
"A - level_started","104","21837","21837","0.0026","21835","1"
"A - level_started","154","12038","12038","0.0014000000000000002","12038","1"
"A - level_started","439","1204","1204","0.0001","1204","1"
"A - level_started","421","1406","1406","0.0002","1405","1"
"A - level_started","194","8126","8126","0.001","8126","1"
"A - level_started","232","5743","5743","0.0007000000000000001","5743","1"
"A - level_started","651","450","450","0.0001","449","1"
"A - level_started","429","1378","1378","0.0002","1377","1"
"A - level_started","369","2061","2061","0.0002","2060","1"
"A - level_started","544","716","716","0.0001","716","1"
"A - level_started","476","1026","1026","0.0001","1026","1"
"A - level_started","366","2081","2081","0.0002","2081","1"
"A - level_started","579","617","617","0.0001","617","1"
"A - level_started","609","516","516","0.0001","516","1"
"A - level_started","717","369","369","0","369","1"
"A - level_started","685","403","403","0","403","1"
"A - level_started","587","632","632","0.0001","632","1"
"A - level_started","35","69202","69202","0.008199999999999999","69199","1"
"A - level_started","519","794","794","0.0001","794","1"
